GF%,GF/60,GA/60,xGF/60,Playoffs
52.97,1.89,1.68,1.92,1
52.73,2.39,2.14,2.22,1
50.34,2.34,2.31,2.12,0
46.53,2.09,2.4,1.92,1
47.26,2.13,2.37,2.05,0
55.28,2.3,1.86,2.12,1
58.44,2.93,2.09,2.4,1
51.47,2.43,2.29,2.29,1
49.42,1.98,2.02,2.26,1
53.11,2.25,1.98,2.37,1
53.92,2.41,2.06,2.35,1
47.22,2.08,2.33,2.17,0
47.64,1.99,2.19,2.05,0
44.37,2.02,2.54,1.87,0
54.61,2.4,2,2.19,1
54.17,2.42,2.05,2.18,1
52.84,2.4,2.14,2.27,1
51.5,2.28,2.15,2.23,0
50.74,2.12,2.06,1.98,0
37.99,1.61,2.63,2.01,0
48.68,2.05,2.16,1.95,0
44,1.99,2.53,1.94,0
45.7,2.07,2.46,2.12,0
45.61,2,2.39,2.28,0
41.81,2.01,2.79,1.94,0
47.73,2.44,2.67,2.22,0
48.79,2.61,2.74,2.14,0
45.42,2.13,2.56,2.22,0
46.58,1.79,2.06,2.1,1
59.57,2.65,1.8,2.23,1
48.33,2,2.13,2.11,1
58.67,2.68,1.89,2.27,1
56.72,2.88,2.2,2.32,1
55.42,2.38,1.91,2.43,1
61.19,2.63,1.67,2.24,1
50.54,2.09,2.05,2.03,0
51.13,2.42,2.31,2.1,0
49.31,2.22,2.28,2.43,1
54.49,2.5,2.09,2.4,1
55.16,2.33,1.89,2.27,1
52.07,2.72,2.5,2.16,0
50.68,2.48,2.41,2.19,0
51.69,2.45,2.29,2.37,1
52.96,2.51,2.23,2.34,1
50.84,2.29,2.21,2.07,0
47.34,2.15,2.39,1.88,0
36.64,1.48,2.56,1.82,0
38.52,1.64,2.62,1.69,0
44.98,1.83,2.23,1.9,0
44.84,1.88,2.31,2.06,0
40.48,1.81,2.67,1.93,0
45.27,2.28,2.75,2.2,0
50.86,2.63,2.54,2.47,0
49.44,2.19,2.24,2.46,1
47.22,2.22,2.48,2.29,0
49.01,2.39,2.49,2.46,0
46.44,2.11,2.43,2.36,0
45.83,2.33,2.75,2.54,0
47.74,2.09,2.29,2.33,0
43.71,1.87,2.41,2.34,0
45.36,1.96,2.36,2.32,0
46.2,2.17,2.52,2.48,0
46.69,2.28,2.6,2.59,0
51.8,2.42,2.25,3.06,1
47.19,1.85,2.07,1.99,0
53.55,2.46,2.13,2.07,1
44.41,2.11,2.65,1.89,0
46.62,2.19,2.51,2.14,0
44.52,2.05,2.55,2,0
51.23,2.17,2.07,1.75,0
52.11,2.31,2.13,2.04,1
46.62,2.25,2.57,2.07,0
48.21,2.27,2.44,2.54,0
56,2.52,1.98,2.47,1
53.33,2.49,2.18,2.7,1
51.58,2.68,2.51,2.41,1
52.21,2.38,2.18,2.2,1
51.61,2.69,2.53,2.42,1
49.44,2.08,2.13,2.07,0
52.46,2.51,2.28,2.18,0
48.06,2.08,2.25,2.16,0
40.39,2.13,3.15,2.16,0
44.34,2.06,2.58,1.96,0
49.34,2.26,2.32,1.99,1
47.04,2.29,2.58,2.17,0
49.29,2.16,2.22,2.12,1
48.17,2.24,2.41,2.61,0
55.29,2.84,2.3,2.59,1
52.38,2.51,2.28,1.93,0
54.07,2.4,2.04,2.32,1
54.77,2.75,2.27,2.44,1
53.7,2.53,2.18,2.21,1
50.3,2.52,2.49,2.3,1
60.69,2.74,1.77,2.25,1
54.98,2.74,2.25,2.42,1
53.96,2.26,1.93,2.34,1
48.91,2.03,2.12,2.14,1
54.67,2.43,2.01,2.25,1
47.42,2.38,2.63,2.49,0
50.14,2.78,2.76,2.29,0
52.92,2.47,2.2,2.22,1
42.71,1.97,2.64,2,0
51.17,2.41,2.3,2.12,1
45.74,2.26,2.68,2.24,0
48.21,2.06,2.21,2.18,0
44.89,2.07,2.54,2.12,0
53.59,2.5,2.16,2.07,1
49.35,2.34,2.4,1.89,0
47.92,2.13,2.31,1.9,0
36.84,1.74,2.98,1.85,0
52.07,2.37,2.18,1.98,1
50.5,2.44,2.39,2.29,1
52.26,2.33,2.13,1.92,1
48.36,2.42,2.59,2.08,0
48.99,2.31,2.41,2.02,0
50.35,2.26,2.23,1.94,0
48.29,2.19,2.35,1.96,0
50,2.47,2.47,2.13,0
52.1,2.5,2.3,2.46,1
