CF%,CF/60,CA/60,GF%,GF/60,GA/60,xGF%,xGF/60,xGA/60,Sh%,Sv%,PDO,SC
50.71,45.86,44.57,52.97,1.89,1.68,48.73,1.92,2.02,7.3,93.62,100.93,0
50.96,50.37,48.47,52.73,2.39,2.14,51.1,2.22,2.13,8.4,92.42,100.82,0
47.35,50.3,55.93,50.34,2.34,2.31,45.83,2.12,2.5,8.23,92.75,100.98,0
44.35,47.09,59.08,46.53,2.09,2.4,44.08,1.92,2.43,7.87,92.31,100.18,0
48.54,51.29,54.38,47.26,2.13,2.37,47.13,2.05,2.3,7.99,91.66,99.65,0
47.93,50.95,55.35,55.28,2.3,1.86,50.07,2.12,2.11,8.59,93.01,101.6,0
49.8,54.93,55.37,58.44,2.93,2.09,51.45,2.4,2.27,9.83,92.62,102.45,0
50.96,55.51,53.42,51.47,2.43,2.29,52.13,2.29,2.1,8.48,91.82,100.3,0
52.42,56.35,51.16,49.42,1.98,2.02,53.01,2.26,2,6.69,92.39,99.08,0
49.67,54.19,54.92,53.11,2.25,1.98,52.02,2.37,2.19,7.77,92.98,100.75,0
48.62,55.83,59,53.92,2.41,2.06,48.41,2.35,2.51,8.16,93.35,101.51,0
47.55,54.15,59.72,47.22,2.08,2.33,45.19,2.17,2.63,7.46,92.55,100.01,0
48.99,52.28,54.44,47.64,1.99,2.19,47.9,2.05,2.23,6.62,92.79,99.41,0
45.55,48.92,58.48,44.37,2.02,2.54,45.94,1.87,2.2,7.59,91.85,99.44,0
51.99,55.51,51.26,54.61,2.4,2,51.79,2.19,2.04,7.89,92.91,100.8,0
50.26,56.62,56.03,54.17,2.42,2.05,48.61,2.18,2.31,8.03,93.31,101.34,0
49.76,55.8,56.35,52.84,2.4,2.14,49.26,2.27,2.33,8.07,93.07,101.15,0
50.65,57.55,56.07,51.5,2.28,2.15,49.14,2.23,2.31,7.42,92.93,100.35,0
50.56,55.44,54.22,50.74,2.12,2.06,47.23,1.98,2.21,7.26,93.01,100.27,0
48.65,54.91,57.95,37.99,1.61,2.63,45.88,2.01,2.37,5.72,91.52,97.24,0
46.81,51.43,58.45,48.68,2.05,2.16,46.63,1.95,2.23,7.67,92.96,100.63,0
45.06,51.43,62.69,44,1.99,2.53,41.97,1.94,2.68,7.28,92.44,99.72,0
48,56.12,60.8,45.7,2.07,2.46,46.18,2.12,2.47,7.28,92.15,99.43,0
48.74,56.4,59.33,45.61,2,2.39,49.23,2.28,2.35,6.7,92.14,98.84,0
42.97,42.69,56.66,41.81,2.01,2.79,43.22,1.94,2.55,8.27,91.55,99.82,0
46.27,48.48,56.3,47.73,2.44,2.67,46.73,2.22,2.53,9.02,91.67,100.69,0
48.59,52.6,55.66,48.79,2.61,2.74,45.65,2.14,2.55,8.98,91.52,100.5,0
48.71,54.97,57.88,45.42,2.13,2.56,47.6,2.22,2.44,7.03,91.79,98.82,0
52.97,53.61,47.6,46.58,1.79,2.06,51.33,2.1,1.99,6.24,91.98,98.21,0
50.53,53.07,51.96,59.57,2.65,1.8,50.85,2.23,2.16,9.08,93.98,103.06,0
52.62,55.47,49.94,48.33,2,2.13,52.2,2.11,1.93,6.53,92.45,98.98,0
50.71,59.24,57.58,58.67,2.68,1.89,49.38,2.27,2.33,8.32,94.1,102.42,1
53.78,59.83,51.41,56.72,2.88,2.2,54.41,2.32,1.95,9.02,92.4,101.42,0
54.39,61.73,51.76,55.42,2.38,1.91,53.24,2.43,2.14,7.31,93.18,100.49,0
